,episode,score
308,308,Blue Team Scored!
309,309,Blue Team Scored!
310,310,Purple Team Scored!
311,311,Purple Team Scored!
312,312,Purple Team Scored!
313,313,Blue Team Scored!
314,314,Purple Team Scored!
315,315,Purple Team Scored!
316,316,Blue Team Scored!
317,317,Purple Team Scored!
318,318,Blue Team Scored!
319,319,Blue Team Scored!
320,320,Purple Team Scored!
321,321,Purple Team Scored!
322,322,Blue Team Scored!
323,323,Blue Team Scored!
324,324,Purple Team Scored!
325,325,Purple Team Scored!
326,326,Blue Team Scored!
327,327,Blue Team Scored!
328,328,Blue Team Scored!
329,329,Blue Team Scored!
330,330,Purple Team Scored!
331,331,Purple Team Scored!
332,332,Blue Team Scored!
333,333,Purple Team Scored!
334,334,Purple Team Scored!
335,335,Purple Team Scored!
336,336,Blue Team Scored!
337,337,Blue Team Scored!
338,338,Blue Team Scored!
339,339,Purple Team Scored!
340,340,Purple Team Scored!
341,341,Blue Team Scored!
342,342,Blue Team Scored!
343,343,Purple Team Scored!
344,344,Purple Team Scored!
345,345,Purple Team Scored!
346,346,Blue Team Scored!
347,347,Blue Team Scored!
348,348,Purple Team Scored!
349,349,Purple Team Scored!
350,350,Purple Team Scored!
351,351,Purple Team Scored!
352,352,Purple Team Scored!
353,353,Blue Team Scored!
354,354,Purple Team Scored!
355,355,Blue Team Scored!
356,356,Blue Team Scored!
357,357,Blue Team Scored!
358,358,Blue Team Scored!
359,359,Purple Team Scored!
360,360,Purple Team Scored!
361,361,Purple Team Scored!
362,362,Blue Team Scored!
363,363,Purple Team Scored!
364,364,Blue Team Scored!
365,365,Purple Team Scored!
